[17:30:02.986] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.003] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.019] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.036] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.052] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.069] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.086] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.102] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.119] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.136] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.152] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.169] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.186] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.202] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.219] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.236] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.253] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.269] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.286] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.303] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.319] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.337] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.353] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.371] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.389] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.403] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.421] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.437] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.455] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.470] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.488] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.503] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.521] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.537] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.554] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.570] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.587] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.605] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.621] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.638] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.653] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.670] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.687] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.703] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.720] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.738] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.754] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.770] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.788] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.805] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.820] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:03.837] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:0.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:04.222] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:-1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.155] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.172] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.188] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.205] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.222] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.237] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.254] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.271] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.288] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.304] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.322] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.339] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.356] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.372] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.388] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.405] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.423] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.439] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.456] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.471] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.489] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.506] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.522] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.538] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.556] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.572] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.588] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.605] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.622] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.639] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.654] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.672] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.688] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.705] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.721] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.738] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.754] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.772] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.788] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.805] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:05.822] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:05.838] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:05.855] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:05.871] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:05.889] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:05.905] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:05.921] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:05.938] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:05.955] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:05.972] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.707] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.722] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.739] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.755] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:1.0/yaw:0.0/pitch:0.7/boost:yes
