[17:30:04.988] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.005] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.022] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.038] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.056] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.073] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.089] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.105] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.122] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.138] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:no
[17:30:05.989] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.005] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.021] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.038] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.056] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.072] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.088] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.105] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.122] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.138] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.155] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.172] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.188] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.205] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.222] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.238] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.255] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.272] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.288] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
[17:30:06.305] [Engine] [trace] ShipController: entity=LocalPlayer, bodyId=0, fwd:1.0/vert:0.0/yaw:0.0/pitch:0.7/boost:yes
